"World Region","ISO_A3","Country","1A1a","1A1bc","1A2","1A3a","1A3b","1A3c","1A3d","1A3e","1A4","1B1","1B2","1C1","1C2","2A1","2A2","2A7","2B","2C","2D","2E","2F1","2F2","2F3","2F4","2F5","2F7","2F8","2F9","2G","3A","3B","3C","3D","4A","4B","4C","4D1","4D2","4D3","4D4","4E","4F","5A","5C","5D","5F","5F1","5F2","5FL","6A","6B","6C","6D","7A","7B","7C","7D","TOTAL" 
"Rest Central America","GTM","Guatemala",4.28744e-1,1.04500e-2,5.22040e-1,0,6.24085e-1,0,0,7.10600e-4,3.99797e+1,2.65205e+0,3.15748e+0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46194e+2,3.56229e+0,1.89858e+0,0,0,0,0,1.86072e+1,5.99752e+0,5.50861e+1,0,0,0,0,0,0,1.61174e+1,4.94039e+1,0,0,0,0,0,0,3.44242e+2
"Rest Central America","HND","Honduras",3.10242e-2,0,3.24870e-1,0,3.64269e-1,0,0,0,1.46764e+1,3.29220e+0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38307e+2,3.51054e+0,4.42606e-1,0,0,0,0,3.52200e+0,1.48867e+0,0,0,0,0,0,0,0,6.52780e+0,2.65535e+1,0,0,0,0,0,0,1.99041e+2
"Rest Central America","HTI","Haiti",8.16426e-3,0,3.99274e-1,0,9.47222e-2,0,0,1.96878e-2,1.45628e+1,1.81071e+1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68468e+1,4.02750e+0,6.17038e+0,0,0,0,0,4.72416e-2,8.62396e-1,0,0,0,0,0,0,0,1.63727e+1,4.08607e+1,0,0,0,0,0,0,1.98380e+2
"Rest Central America","JAM","Jamaica",1.96209e-1,3.65063e-4,4.48848e-2,2.09000e-5,4.27911e-1,0,0,1.75560e-2,2.42882e+0,4.20670e+0,3.02657e-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82513e+1,8.56253e-1,1.30527e-3,0,0,0,0,0,6.00773e-1,0,0,0,0,0,0,0,1.09841e+1,1.20585e+1,0,0,0,0,0,0,6.03774e+1
"Rest Central America","KNA","Saint Kitts and Nevis",1.69470e-3,0,4.13111e-3,3.33844e-5,4.25746e-3,0,1.49662e-4,2.27497e-4,8.96302e-2,0,2.09486e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83347e-1,1.18840e-2,0,0,0,0,0,0,5.74432e-2,0,0,0,0,0,0,0,7.89992e-1,2.47962e-1,0,0,0,0,0,0,1.59285e+0
"Rest Central America","LCA","Saint Lucia",6.17064e-3,0,1.57489e-2,6.70100e-6,2.19647e-2,0,4.58461e-5,6.96624e-5,1.65108e-2,2.86130e-2,7.51680e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57022e-1,3.40680e-2,0,0,0,0,0,0,8.52131e-3,0,0,0,0,0,0,0,1.75208e-1,7.43473e-1,0,0,0,0,0,0,1.91494e+0
"Rest Central America","MSR","Montserrat",5.09874e-4,0,3.87291e-4,4.35601e-6,3.92076e-3,0,3.46517e-3,2.26570e-4,7.59595e-2,0,1.12420e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.20405e-1,1.37480e-2,0,0,0,0,0,0,4.62834e-5,0,0,0,0,0,0,0,9.10772e-3,4.00627e-2,0,0,0,0,0,0,7.68967e-1
"Rest Central America","MTQ","Martinique",1.83728e-2,0,4.49160e-2,3.12111e-4,5.91252e-2,0,1.93040e-5,2.93320e-5,5.17182e-2,1.62316e-1,4.06630e-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59497e+0,5.37331e-2,0,0,0,0,0,0,8.34059e-2,0,0,0,0,0,0,0,5.11075e+0,1.71739e+0,0,0,0,0,0,0,8.93771e+0
"Rest Central America","NIC","Nicaragua",3.35511e-2,1.69480e-3,2.71364e-1,0,2.03749e-1,0,7.60760e-3,0,1.48740e+1,2.37770e+0,2.18615e-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81432e+2,4.66898e+0,1.09287e+1,0,0,0,0,2.64768e+0,1.70385e+0,0,0,0,0,0,0,0,2.36892e+1,2.57040e+1,0,0,0,0,0,0,2.68763e+2
"Rest Central America","PAN","Panama",3.29742e-2,2.34080e-3,1.24773e-1,0,4.64124e-1,0,0,5.39220e-2,5.65124e+0,3.65800e-1,2.66506e-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00159e+2,2.34122e+0,1.51887e+1,0,0,0,0,7.14792e-1,8.13289e-1,0,0,0,0,0,0,0,1.07371e+1,1.33494e+1,0,0,0,0,0,0,1.50265e+2
"Rest Central America","PRI","Puerto Rico",0,0,2.25980e-3,0,0,0,4.34330e-5,8.08019e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84270e+1,7.77713e-1,0,0,0,0,0,0,1.35229e-2,0,0,0,0,0,0,0,5.55219e+1,1.90059e+1,0,0,0,0,0,0,1.03748e+2
"Rest Central America","SLV","El Salvador",1.32020e-1,7.10600e-4,3.00638e-1,0,2.77270e-1,0,0,0,1.60947e+1,1.55465e+0,2.51299e-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11121e+1,2.21158e+0,5.81440e-1,0,0,0,0,5.66184e-1,1.85860e+0,0,0,0,0,0,0,0,2.02034e+1,2.86196e+1,0,0,0,0,0,0,1.53764e+2
"Rest Central America","TCA","Turks and Caicos Islands",3.76290e-4,0,2.17827e-3,0,4.86988e-4,0,2.47184e-6,3.66672e-6,2.46383e-4,7.59500e-3,3.21047e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37784e-2,8.85905e-2,0,0,0,0,0,0,1.93290e-1
"Rest Central America","TTO","Trinidad and Tobago",2.85426e-1,8.18036e-2,4.75684e-2,0,2.13616e-1,0,0,0,7.38416e-1,1.70097e-1,2.54749e+2,0,0,0,0,0,7.86888e+0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46771e+0,3.99684e-1,1.54259e-1,0,0,0,0,0,3.99148e-1,0,0,0,0,0,0,0,1.06145e+1,4.47530e+1,0,0,0,0,0,0,3.22943e+2
"Rest Central America","VCT","Saint Vincent and the Grenadines",3.94807e-3,0,1.16823e-2,3.86151e-6,8.96441e-3,0,0,0,2.28318e-2,3.11860e-2,3.93466e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74440e-1,2.04160e-2,0,0,0,0,0,0,1.23023e-2,0,0,0,0,0,0,0,5.62456e-1,5.44092e-1,0,0,0,0,0,0,1.69626e+0
"Rest Central America","VGB","Virgin Islands_British",9.39296e-4,0,2.13191e-3,4.93949e-6,3.88476e-3,0,0,0,8.25521e-4,4.49500e-3,1.24275e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96543e-1,2.81092e-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13299e-1,8.58310e-2,0,0,0,0,0,0,8.37306e-1
"Rest Central America","VIR","Virgin Islands_USA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42400e-2,8.57493e-3,0,0,0,0,0,0,9.66395e-2,0,0,0,0,0,0,0,1.26485e+0,4.84116e-1,0,0,0,0,0,0,1.89842e+0
