World Region,ISO_A3,Country,1A1a,1A1bc,1A2,1A3a,1A3b,1A3c,1A3d,1A3e,1A4,1B1,1B2,1C1,1C2,2A1,2A2,2A7,2B,2C,2D,2E,2F1,2F2,2F3,2F4,2F5,2F7,2F8,2F9,2G,3A,3B,3C,3D,4A,4B,4C,4D1,4D2,4D3,4D4,4E,4F,5A,5C,5D,5F,5F1,5F2,5FL,6A,6B,6C,6D,7A,7B,7C,7D,TOTAL ,
OECD_Europe,FIN,Finland,4.31E+00,9.88E-02,4.41E+00,3.16E-03,1.22E+00,6.42E-03,5.73E-02,3.76E-04,2.02E+01,2.90E+00,6.51E+00,0,0,0,0,0,8.33E-02,5.09E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20E+01,2.08E+01,0,0,0,0,0,0,3.11E-01,0,5.47E-01,0,0,0,0,0,9.82E+01,2.19E+02,0,2.09E+00,0,0,0,0,4.53E+02,
OECD_Europe,FRA,France,3.44E+00,3.83E-01,4.37E+00,2.89E-02,1.02E+01,3.49E-02,9.04E-02,0,1.48E+02,1.45E+01,1.50E+03,0,0,0,0,0,1.59E+00,1.32E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36E+03,3.44E+02,3.29E+00,0,0,0,0,0,5.04E+00,0,3.12E-01,0,0,0,0,0,3.34E+02,1.91E+02,2.46E+00,2.19E+01,0,0,0,0,3.95E+03,
OECD_Europe,FRO,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13E-01,2.49E-02,0,0,0,0,0,0,8.86E-06,0,0,0,0,0,0,0,1.07E+00,4.04E-02,2.90E-03,2.63E-02,0,0,0,0,1.77E+00,
OECD_Europe,GBR,United Kingdom,6.85E+00,1.01E+00,2.43E+00,1.63E-02,1.05E+01,1.21E-01,4.79E-01,0,2.76E+01,9.06E+01,5.19E+02,0,0,0,0,0,1.07E+00,1.61E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82E+02,1.68E+02,0,0,0,0,0,0,1.73E+00,0,1.16E-01,0,0,0,0,0,9.82E+02,1.09E+02,2.24E-01,1.11E+01,0,0,0,0,2.91E+03,
OECD_Europe,GIB,Gibraltar,0,0,0,0,1.39E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47E-01,2.44E-02,9.00E-04,8.18E-03,0,0,0,0,2.94E-01,
OECD_Europe,GRC,Greece,8.09E-01,8.58E-02,7.13E-01,7.19E-03,6.38E+00,6.50E-03,1.74E-01,2.93E-04,1.30E+01,5.53E+01,1.16E+01,0,0,0,0,0,3.37E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41E+02,3.06E+01,4.87E+00,0,0,0,0,0,3.79E-01,0,2.35E-01,0,0,0,0,0,1.12E+02,1.39E+01,4.21E-04,2.27E-01,0,0,0,0,3.91E+02,
OECD_Europe,GRL,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53E-01,2.79E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37E-01,2.13E-01,1.51E-03,1.37E-02,0,0,0,0,1.32E+00,
OECD_Europe,IRL,Ireland,3.66E-01,6.33E-03,4.78E-01,8.78E-04,1.04E+00,7.46E-03,6.44E-03,5.02E-04,9.79E+00,7.08E-01,8.13E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68E+02,7.13E+01,0,0,0,0,0,0,1.46E-01,0,3.89E-02,0,0,0,0,0,4.67E+01,6.23E+00,0,6.77E-01,0,0,0,0,6.86E+02,
OECD_Europe,ISL,Iceland,2.63E-03,0,5.18E-02,1.46E-04,5.25E-02,0,4.97E-03,0,5.35E-02,0,0,0,0,0,0,0,0,1.66E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71E+00,1.25E+00,0,0,0,0,0,0,6.74E-05,0,0,0,0,0,0,0,6.76E+00,4.23E-01,5.55E-04,7.46E-03,0,0,0,0,1.75E+01,
OECD_Europe,ITA,Italy,6.21E+00,3.50E-01,2.76E+00,1.63E-02,2.04E+01,1.23E-02,4.71E-01,0,3.08E+01,1.71E+01,2.19E+02,0,0,0,0,0,8.59E-01,1.19E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95E+02,1.99E+02,4.76E+01,0,0,0,0,0,1.67E+00,0,0,0,0,0,0,0,6.27E+02,7.80E+01,1.30E+00,3.25E+01,0,0,0,0,1.78E+03,
OECD_Europe,LUX,Luxembourg,7.31E-02,0,5.78E-02,2.09E-05,3.15E-01,0,0,1.38E-03,9.97E-02,0,5.56E+00,0,0,0,0,0,0,5.90E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22E+01,3.27E+01,0,0,0,0,0,0,1.06E-02,0,4.68E-01,0,0,0,0,0,2.31E+00,4.67E-01,0,2.38E-01,0,0,0,0,5.46E+01,
OECD_Europe,NLD,Netherlands,3.59E+00,2.94E-01,4.62E-01,1.05E-03,2.80E+00,4.86E-03,7.11E-02,0,7.30E+00,2.88E+00,2.42E+02,0,0,0,0,0,2.64E+00,3.29E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02E+02,1.53E+02,0,0,0,0,0,0,2.00E-01,0,3.46E-02,0,0,0,0,0,2.17E+02,3.89E+01,0,5.85E+00,0,0,0,0,9.80E+02,
OECD_Europe,NOR,Norway,3.82E-01,5.62E-01,9.27E-01,7.19E-03,1.13E+00,2.43E-03,2.32E-01,1.88E-03,1.05E+01,5.31E+01,5.76E+02,0,0,0,0,0,2.26E+00,6.81E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28E+01,1.62E+01,0,0,0,0,0,0,9.44E-02,0,0,0,0,0,0,0,4.19E+01,4.90E+01,5.25E+00,1.66E+00,0,0,0,0,8.43E+02,
OECD_Europe,PRT,Portugal,8.01E-01,6.64E-02,1.97E+00,1.96E-03,1.98E+00,3.99E-03,7.02E-03,1.88E-03,2.07E+01,1.47E+00,5.17E+01,0,0,0,0,0,1.08E-01,2.85E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47E+02,5.95E+01,3.27E+00,0,0,0,0,0,9.31E-02,0,4.80E-01,0,0,0,0,0,2.76E+02,5.37E+01,3.52E-01,1.12E+00,0,0,0,0,6.20E+02,
OECD_Europe,SWE,Sweden,5.65E+00,5.12E-02,5.33E+00,5.83E-03,2.10E+00,6.94E-04,2.28E-02,4.04E-03,2.16E+01,1.55E+00,2.35E+01,0,0,0,0,0,3.46E-01,1.82E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23E+02,2.92E+01,0,0,0,0,0,0,3.97E-01,0,2.28E-02,0,0,0,0,0,7.36E+01,2.54E+02,4.34E-02,1.68E+00,0,0,0,0,5.43E+02,
Central Europe,ALB,Albania,1.39E-04,5.35E-03,2.92E-02,0,2.02E-01,5.91E-03,1.52E-02,0,9.62E+00,5.68E+00,1.54E+01,0,0,0,0,0,0,7.22E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70E+01,1.07E+01,0,0,0,0,0,0,1.44E-01,0,2.38E-02,0,0,0,0,0,5.66E+00,5.28E+00,2.62E-03,8.75E-03,0,0,0,0,1.20E+02,
Central Europe,BGR,Bulgaria,3.10E-01,2.27E-02,3.95E-01,2.72E-04,2.42E+00,6.81E-03,0,1.08E-02,2.52E+01,3.28E+01,1.16E+01,0,0,0,0,0,1.72E-01,8.27E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71E+01,1.39E+01,5.17E-01,0,0,0,0,0,1.04E+00,0,0,0,0,0,0,0,3.94E+02,2.51E+01,0,0,0,0,0,0,5.85E+02,
Central Europe,BIH,Bosnia and Herzegovina,1.07E-01,6.02E-03,8.43E-02,2.00E-03,4.21E-01,0,0,0,7.03E+00,5.44E+01,7.07E+00,0,0,0,0,0,9.97E-04,8.99E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91E+01,1.15E+01,0,0,0,0,0,0,2.77E-01,0,1.41E-01,0,0,0,0,0,8.24E+00,6.16E+00,3.75E-03,1.25E-02,0,0,0,0,1.45E+02,
Central Europe,CYP,Cyprus,8.60E-04,0,6.34E-02,0,2.29E-01,0,0,0,4.61E-02,3.66E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67E+00,3.36E+00,0,0,0,0,0,0,5.99E-03,0,0,0,0,0,0,0,1.38E+01,3.63E+00,0,0,0,0,0,0,2.92E+01,
Central Europe,CZE,Czech Republic,1.12E+00,5.71E-02,1.63E+00,0,2.43E+00,0,0,9.75E-03,4.11E+01,1.45E+02,5.22E+01,0,0,0,0,0,1.84E-01,2.93E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44E+02,2.04E+01,0,0,0,0,0,0,2.03E+00,0,1.10E-01,0,0,0,0,0,1.07E+02,4.63E+01,2.88E-01,1.01E+00,0,0,0,0,5.65E+02,
Central Europe,EST,Estonia,2.41E-01,1.19E-02,3.60E-01,2.09E-05,2.65E-01,4.51E-03,2.05E-03,0,7.98E+00,1.54E+01,1.96E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52E+01,3.86E+00,1.84E+00,0,0,0,0,0,2.39E-01,0,0,0,0,0,0,0,2.14E+01,7.66E+00,0,3.14E+00,0,0,0,0,1.07E+02,
Central Europe,HRV,Croatia,1.60E-01,4.42E-02,2.23E-01,1.38E-03,1.15E+00,6.09E-03,1.26E-02,3.61E-04,9.24E+00,3.11E-01,1.02E+02,0,0,0,0,0,5.25E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49E+01,1.07E+01,0,0,0,0,0,0,7.35E-01,0,0,0,0,0,0,0,3.95E+01,1.29E+01,2.94E-05,0,0,0,0,0,2.32E+02,
Central Europe,HUN,Hungary,1.10E+00,4.11E-02,3.18E-01,0,1.03E+00,1.06E-02,1.61E-03,0,8.20E+00,8.58E+00,8.31E+01,0,0,0,0,0,2.04E-01,1.05E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44E+01,2.28E+01,5.92E-01,0,0,0,0,0,3.48E+00,0,1.61E-01,0,0,0,0,0,1.06E+02,3.26E+01,1.22E-01,0,0,0,0,0,3.53E+02,
Central Europe,LTU,Lithuania,2.30E-01,3.40E-02,1.65E-01,4.18E-05,1.08E+00,1.28E-02,1.76E-03,1.13E-03,1.59E+01,9.15E-02,6.66E+01,0,0,0,0,0,1.15E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81E+01,1.36E+01,0,0,0,0,0,0,8.24E-01,0,5.50E-02,0,0,0,0,0,5.58E+01,1.31E+01,1.13E-03,0,0,0,0,0,2.46E+02,
Central Europe,LVA,Latvia,2.47E-01,0,4.68E-01,2.09E-05,4.75E-01,1.37E-02,5.85E-04,0,2.97E+01,8.23E-01,5.27E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23E+01,5.42E+00,0,0,0,0,0,0,4.42E-01,0,9.43E-01,0,0,0,0,0,2.41E+01,4.39E+00,1.50E-04,4.58E-02,0,0,0,0,1.52E+02,
Central Europe,MKD,"Macedonia, the former Yugoslav Republic of",6.59E-02,1.73E-04,7.81E-02,0,2.80E-01,1.22E-03,0,0,3.88E+00,7.95E+00,9.73E+00,0,0,0,0,0,1.66E-03,5.50E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49E+01,3.42E+00,2.83E-01,0,0,0,0,0,1.42E-01,0,3.74E-01,0,0,0,0,0,6.31E+00,8.05E+00,2.35E-03,7.84E-03,0,0,0,0,6.55E+01,
Central Europe,MLT,Malta,1.99E-03,0,0,0,2.13E-02,0,0,0,5.23E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54E+00,6.95E-01,0,0,0,0,0,0,1.20E-03,0,0,0,0,0,0,0,8.51E+00,3.75E-01,0,0,0,0,0,0,1.11E+01,
Central Europe,POL,Poland,2.50E+00,1.98E-01,3.42E+00,0,8.73E+00,2.62E-02,1.46E-03,1.41E-02,2.25E+02,1.56E+03,1.56E+02,0,0,0,0,0,2.14E-01,2.67E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95E+02,1.36E+02,0,0,0,0,0,0,5.87E+00,0,9.02E-01,0,0,0,0,0,3.19E+02,9.57E+01,1.44E-01,1.15E+00,0,0,0,0,3.11E+03,
Central Europe,ROU,Romania,4.70E-01,1.85E-01,6.60E-01,2.57E-03,2.16E+00,3.17E-02,2.28E-02,2.09E-03,1.26E+02,5.12E+01,4.13E+02,0,0,0,0,0,7.69E-01,7.60E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26E+02,9.01E+01,1.91E+00,0,0,0,0,0,2.56E+00,0,1.08E-01,0,0,0,0,0,1.96E+02,6.61E+01,1.81E-02,0,0,0,0,0,1.28E+03,
Central Europe,SCG,Serbia and Montenegro,3.09E-01,5.50E-03,2.38E-01,0,8.33E-01,0,0,0,3.36E+01,3.10E+01,8.05E+01,0,0,0,0,0,5.68E-02,1.03E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23E+01,2.69E+01,0,0,0,0,0,0,2.27E+00,0,0,0,0,0,0,0,1.92E+01,3.20E+01,7.41E-03,2.47E-02,0,0,0,0,3.20E+02,
Central Europe,SVK,Slovakia,3.42E-01,6.00E-02,6.74E-01,0,3.47E-01,0,0,2.29E-02,3.21E+00,1.17E+01,2.76E+01,0,0,0,0,0,6.86E-02,3.18E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31E+01,1.02E+01,0,0,0,0,0,0,8.06E-01,0,1.15E+00,0,0,0,0,0,4.40E+01,3.75E+01,7.05E-02,9.49E-02,0,0,0,0,1.91E+02,
Central Europe,SVN,Slovenia,1.12E-01,5.02E-04,2.05E-01,2.09E-05,3.72E-01,2.08E-03,0,0,1.12E+01,3.71E+01,4.90E+00,0,0,0,0,0,3.45E-01,1.09E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45E+01,5.91E+00,0,0,0,0,0,0,1.37E-01,0,0,0,0,0,0,0,2.03E+01,1.36E+01,0,1.30E-05,0,0,0,0,1.39E+02,
Turkey,TUR,Turkey,3.20E+00,1.63E-01,1.83E+00,1.64E-02,9.44E+00,2.82E-02,1.50E-01,6.56E-03,1.98E+02,2.28E+02,2.64E+02,0,0,0,0,0,3.58E-01,3.84E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53E+02,2.33E+02,3.27E+01,0,0,0,0,0,2.81E+01,0,5.71E-02,0,0,0,0,0,1.41E+03,3.37E+02,0,9.34E-01,0,0,0,0,3.60E+03,
Ukraine +,BLR,Belarus,1.48E+00,8.23E-02,4.22E-01,5.77E-02,8.09E-01,7.26E-02,9.38E-03,1.26E-04,3.08E+01,3.66E-01,1.72E+01,0,0,0,0,0,6.03E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41E+02,5.04E+01,0,0,0,0,0,0,1.64E+00,0,2.09E-02,0,0,0,0,0,2.59E+02,2.67E+01,0,1.81E-01,0,0,0,0,7.31E+02,
Ukraine +,MDA,"Moldova, Republic of",8.42E-02,0,1.36E-02,0,3.99E-02,1.04E-02,0,2.93E-04,1.89E+00,7.96E+00,7.45E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62E+01,9.94E+00,0,0,0,0,0,0,3.85E-01,0,0,0,0,0,0,0,7.00E+00,3.28E+01,2.52E-03,8.39E-03,0,0,0,0,1.61E+02,
Ukraine +,UKR,Ukraine,1.53E+00,3.08E-01,2.60E+00,8.15E-04,3.80E+00,5.20E-02,3.16E-02,1.26E-01,3.19E+01,4.34E+02,1.79E+03,0,0,0,0,0,8.10E-02,6.22E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80E+02,9.31E+01,6.37E+00,0,0,0,0,0,9.89E+00,0,2.66E-01,0,0,0,0,0,3.81E+02,1.13E+02,0,5.80E-01,0,0,0,0,3.25E+03,
Asia-Stan,KAZ,Kazakhstan,7.04E-01,6.06E-01,3.23E+00,2.16E-03,1.20E+00,9.84E-02,2.23E-03,0,6.74E+00,6.97E+02,1.35E+03,0,0,0,0,0,8.73E-03,2.32E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97E+02,4.41E+01,1.53E+01,0,0,0,0,0,7.15E+00,2.04E-01,5.62E+01,0,0,0,0,0,2.07E+02,3.93E+01,0,5.74E-01,0,0,0,0,3.03E+03,
Asia-Stan,KGZ,Kyrgyzstan,2.95E-02,0,1.12E-01,4.76E-04,9.34E-02,0,0,0,3.09E-01,2.36E+00,9.28E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E+02,7.07E+00,1.23E+00,0,0,0,0,0,4.54E-01,0,0,0,0,0,0,0,4.53E+00,2.88E+01,0,6.96E-02,0,0,0,0,1.74E+02,
Asia-Stan,TJK,Tajikistan,1.40E-02,0,1.00E-04,0,1.50E+00,0,0,0,1.36E+00,2.58E+00,2.00E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34E+02,1.10E+01,8.07E+00,0,0,0,0,0,3.06E-01,0,0,0,0,0,0,0,6.76E+00,2.93E+01,0,5.58E-02,0,0,0,0,2.15E+02,
Asia-Stan,TKM,Turkmenistan,5.88E-01,2.96E-01,1.00E-04,0,6.53E-01,0,0,0,2.52E+00,0,1.20E+03,0,0,0,0,0,8.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05E+02,1.42E+01,0,0,0,0,0,0,9.65E-01,0,0,0,0,0,0,0,1.27E+01,3.16E+01,0,1.59E-01,0,0,0,0,1.57E+03,
Asia-Stan,UZB,Uzbekistan,5.45E-01,2.04E-01,3.48E-01,4.37E-03,2.22E+00,1.13E-02,0,5.81E-02,6.65E+00,5.39E+00,1.29E+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67E+02,5.31E+01,2.78E+00,0,0,0,0,0,2.09E+00,0,0,0,0,0,0,0,3.88E+01,1.38E+02,0,3.90E-01,0,0,0,0,2.21E+03,
Russia +,ARM,Armenia,2.33E-02,0,3.51E-02,0,2.50E-01,0,0,0,1.76E-01,0,8.49E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77E+01,7.47E+00,0,0,0,0,0,0,1.47E-01,0,0,0,0,0,0,0,8.55E+00,4.72E+00,0,1.05E-01,0,0,0,0,1.54E+02,
Russia +,AZE,Azerbaijan,2.20E-01,8.33E-02,3.16E-02,2.41E-04,6.66E-01,0,0,0,7.35E-01,0,4.66E+02,0,0,0,0,0,1.67E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24E+02,3.40E+01,3.03E-01,0,0,0,0,0,6.16E-01,0,0,0,0,0,0,0,2.79E+01,5.23E+01,0,2.28E-01,0,0,0,0,8.07E+02,
Russia +,GEO,Georgia,2.29E-02,1.02E-02,1.81E-02,0,2.01E-01,6.70E-04,0,5.85E-03,1.96E+01,1.55E-01,6.78E+01,0,0,0,0,0,0,2.27E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41E+01,1.78E+01,0,0,0,0,0,0,1.20E-01,0,2.34E-02,0,0,0,0,0,1.55E+01,8.67E+00,0,1.02E-01,0,0,0,0,2.24E+02,
Russia +,RUS,Russian Federation,1.90E+01,3.60E+00,7.17E+00,1.22E-01,2.14E+01,3.40E-01,3.05E-01,1.57E+00,1.99E+02,2.77E+03,1.63E+04,0,0,0,0,0,1.00E+01,5.86E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64E+03,2.75E+02,4.36E+01,0,0,0,0,0,2.75E+01,1.43E-01,3.12E-01,0,0,0,0,0,2.11E+03,8.79E+02,0,0,0,0,0,0,2.44E+04,
Middle_East,ARE,United Arab Emirates,4.61E+00,8.97E-02,8.56E-01,0,1.51E+00,0,0,0,5.28E-01,2.33E-01,1.07E+03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70E+01,1.53E+00,0,0,0,0,0,0,2.49E-04,0,0,0,0,0,0,0,3.50E+01,1.86E+01,0,4.12E-01,0,0,0,0,1.16E+03,
Middle_East,BHR,Bahrain,6.44E-01,2.39E-01,1.24E-01,0,2.18E-01,0,0,0,2.13E-02,9.46E-02,1.39E+02,0,0,0,0,0,8.31E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48E-01,2.56E-02,0,0,0,0,0,0,1.12E-05,0,0,0,0,0,0,0,6.61E+00,3.78E+00,0,6.05E-02,0,0,0,0,1.52E+02,
Middle_East,IRN,"Iran, Islamic Republic of",3.79E+00,8.08E-01,2.79E+00,0,3.52E+00,0,0,0,1.94E+01,3.44E+01,3.51E+03,0,0,0,0,0,1.02E+01,6.85E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14E+02,2.85E+01,1.47E+02,0,0,0,0,2.45E-04,0,0,5.09E-02,0,0,0,0,0,2.57E+02,3.80E+02,0,3.28E+00,0,0,0,0,5.22E+03,
Middle_East,IRQ,Iraq,3.90E-01,1.03E-01,8.36E-01,0,5.92E+00,0,0,0,1.14E+00,1.37E+00,7.17E+02,0,0,0,0,0,8.58E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11E+02,5.14E+00,4.74E+01,0,0,0,0,0,2.80E+00,0,6.84E-03,0,0,0,0,0,8.23E+01,1.04E+02,0,5.54E-01,0,0,0,0,1.08E+03,
Middle_East,ISR,Israel,4.58E-01,7.56E-02,3.95E-02,0,1.03E+00,2.00E-03,0,0,1.22E+00,2.61E-01,4.62E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06E+01,2.56E+00,0,0,0,0,0,0,1.84E-01,0,0,0,0,0,0,0,5.56E+01,2.78E+01,0,5.93E-01,0,0,0,0,1.87E+02,
Middle_East,JOR,Jordan,1.81E-01,1.72E-02,1.03E-01,0,5.09E-01,0,0,1.38E-03,4.33E-01,3.48E+00,2.77E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13E+01,1.09E+00,0,0,0,0,0,0,3.43E-02,0,0,0,0,0,0,0,2.31E+01,2.67E+01,0,2.53E-01,0,0,0,0,1.05E+02,
Middle_East,KWT,Kuwait,5.47E-01,5.83E-01,1.99E-01,0,1.11E+00,0,0,0,4.91E-02,2.47E-01,5.60E+02,0,0,0,0,0,4.02E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30E+00,2.16E-01,0,0,0,0,0,0,2.84E-03,0,0,0,0,0,0,0,2.75E+01,1.17E+01,0,2.62E-01,0,0,0,0,6.10E+02,
Middle_East,LBN,Lebanon,9.22E-02,0,9.62E-02,0,5.97E-01,0,0,0,1.57E+00,1.55E+00,1.76E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19E+01,1.08E+00,0,0,0,0,0,0,9.32E-02,0,0,0,0,0,0,0,1.86E+01,1.43E+01,0,1.74E-01,0,0,0,0,5.19E+01,
Middle_East,OMN,Oman,9.98E-01,3.30E-01,2.25E-01,0,4.83E-01,0,0,0,4.39E-01,4.93E-01,6.87E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E+01,1.05E+00,0,0,0,0,0,0,4.58E-03,0,0,0,0,0,0,0,1.73E+01,1.01E+01,0,1.63E-01,0,0,0,0,7.44E+02,
Middle_East,QAT,Qatar,8.11E-01,8.67E-01,2.87E-01,2.14E-03,4.39E-01,0,0,0,4.47E-02,6.80E-02,1.32E+03,0,0,0,0,0,1.76E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92E+00,3.12E-01,0,0,0,0,0,0,3.85E-03,0,0,0,0,0,0,0,8.48E+00,1.67E+01,0,9.15E-02,0,0,0,0,1.36E+03,
Middle_East,SAU,Saudi Arabia,5.69E+00,1.92E+00,1.58E+00,6.06E-04,1.07E+01,0,0,0,4.00E-01,3.50E+00,2.33E+03,0,0,0,0,0,1.18E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72E+01,5.72E+00,0,0,0,0,0,0,1.95E+00,0,0,0,0,0,0,0,1.86E+02,1.05E+02,0,1.75E+00,0,0,0,0,2.76E+03,
Middle_East,SYR,Syrian Arab Republic,2.83E-01,4.95E-02,2.78E-01,2.82E-03,8.77E-01,0,0,0,6.84E+00,9.15E-02,2.62E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99E+02,6.50E+00,0,0,0,0,0,0,3.36E+00,0,4.51E-02,0,0,0,0,0,4.68E+01,6.90E+01,0,4.63E-01,0,0,0,0,5.95E+02,
Middle_East,YEM,Yemen,3.81E-02,1.11E-01,1.01E-01,0,1.01E+00,0,0,0,4.26E+00,4.66E+00,9.99E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79E+02,5.92E+00,0,0,0,0,0,0,9.01E-01,0,0,0,0,0,0,0,1.46E+01,8.59E+01,0,1.65E-01,0,0,0,0,3.96E+02,
India +,AFG,Afghanistan,9.80E-04,0,1.11E-01,2.37E-04,1.25E-01,0,8.88E-04,3.49E-04,1.41E+01,9.44E+00,2.01E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80E+02,1.63E+01,3.81E+01,0,0,0,0,0,4.80E-01,0,0,0,0,0,0,0,1.62E+01,1.39E+02,0,2.24E-01,0,0,0,0,5.34E+02,
India +,BGD,Bangladesh,6.26E-01,4.97E-03,2.91E-01,0,1.05E+00,2.29E-02,4.41E-02,0,1.85E+02,3.90E+01,3.12E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78E+02,7.56E+01,2.24E+03,0,0,0,0,1.17E-03,1.62E+01,9.72E-02,0,0,0,0,0,0,2.28E+02,6.85E+02,0,0,0,0,0,0,4.66E+03,
India +,BTN,Bhutan,4.76E-04,0,9.69E-03,3.44E-04,2.12E-02,0,2.16E-04,6.10E-05,1.71E+01,3.70E+00,9.82E-03,0,0,0,0,0,0,2.71E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35E+01,1.38E+00,9.50E+00,0,0,0,0,0,1.78E-01,2.16E+00,0,0,0,0,0,0,8.35E-01,8.88E+00,0,7.73E-03,0,0,0,0,5.73E+01,
India +,IND,India,9.89E+00,1.86E+00,5.14E+01,1.00E-03,3.33E+01,4.97E-01,3.51E-01,6.90E-03,1.99E+03,2.17E+03,7.11E+02,0,0,0,0,0,2.14E+00,2.70E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26E+04,1.11E+03,4.07E+03,0,0,0,0,1.24E+01,2.50E+02,1.70E+01,3.31E+00,0,0,0,0,0,1.27E+03,4.42E+03,0,5.24E+01,4.50E+01,0,0,0,2.89E+04,
