World Region,ISO_A3,Country,1A1a,1A1bc,1A2,1A3a,1A3b,1A3c,1A3d,1A3e,1A4,1B1,1B2,1C1,1C2,2A1,2A2,2A7,2B,2C,2D,2E,2F1,2F2,2F3,2F4,2F5,2F7,2F8,2F9,2G,3A,3B,3C,3D,4A,4B,4C,4D1,4D2,4D3,4D4,4E,4F,5A,5C,5D,5F,5F1,5F2,5FL,6A,6B,6C,6D,7A,7B,7C,7D,TOTAL ,
Rest Central America,GLP,Guadeloupe,1.49E-02,0,4.88E-02,3.58E-04,7.00E-02,0,0,2.12E-05,5.04E-01,1.89E-01,4.88E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31E+00,1.17E-01,0,0,0,0,0,0,2.07E-01,0,0,0,0,0,0,0,3.52E+00,2.07E+00,0,0,0,0,0,0,1.11E+01,
Rest Central America,GRD,Grenada,4.47E-03,0,1.04E-02,2.31E-05,2.60E-02,0,2.61E-04,5.95E-04,4.94E-02,1.57E-01,6.54E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47E-01,1.28E-02,0,0,0,0,0,0,4.63E-03,0,0,0,0,0,0,0,4.68E-01,5.79E-01,0,0,0,0,0,0,1.67E+00,
Rest Central America,GTM,Guatemala,1.43E-01,0,9.72E-02,0,5.58E-01,0,0,1.25E-04,5.10E+01,5.30E+00,1.72E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46E+02,3.66E+00,1.72E+00,0,0,0,0,3.05E+00,6.87E+00,6.62E+00,0,0,0,0,0,0,2.02E+01,5.58E+01,0,0,0,0,0,0,3.03E+02,
Rest Central America,HND,Honduras,2.08E-01,0,2.20E-01,0,4.94E-01,0,0,0,1.85E+01,2.41E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E+02,4.08E+00,4.26E-01,0,0,0,0,7.01E-01,2.40E+00,0,0,0,0,0,0,0,8.27E+00,3.02E+01,0,0,0,0,0,0,2.58E+02,
Rest Central America,HTI,Haiti,5.93E-03,0,4.37E-01,0,1.49E-01,0,0,2.61E-02,2.07E+01,2.14E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56E+01,3.97E+00,6.36E+00,0,0,0,0,2.71E-01,8.84E-01,0,0,0,0,0,0,0,1.95E+01,4.46E+01,0,0,0,0,0,0,2.14E+02,
Rest Central America,JAM,Jamaica,2.08E-01,1.80E-04,2.32E-02,0,4.00E-01,0,0,4.13E-02,2.72E+00,3.66E+00,2.98E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E+01,8.76E-01,2.45E-03,0,0,0,0,0,8.29E-01,0,0,0,0,0,0,0,1.18E+01,1.26E+01,0,0,0,0,0,0,6.32E+01,
Rest Central America,KNA,Saint Kitts and Nevis,2.25E-03,0,4.41E-03,2.97E-05,4.99E-03,0,9.55E-05,2.20E-04,2.98E-03,0,2.98E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62E-01,1.17E-02,0,0,0,0,0,0,3.17E-02,0,0,0,0,0,0,0,6.95E-01,2.56E-01,0,0,0,0,0,0,1.47E+00,
Rest Central America,LCA,Saint Lucia,8.06E-03,0,1.65E-02,6.65E-06,2.59E-02,0,3.13E-05,7.21E-05,1.76E-02,3.03E-02,1.05E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57E-01,3.48E-02,0,0,0,0,0,0,8.89E-03,0,0,0,0,0,0,0,1.98E-01,8.06E-01,0,0,0,0,0,0,2.01E+00,
Rest Central America,MSR,Montserrat,8.30E-04,0,5.23E-04,4.67E-06,5.13E-03,0,2.78E-03,2.42E-04,7.62E-02,0,1.79E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.20E-01,1.37E-02,0,0,0,0,0,0,4.87E-05,0,0,0,0,0,0,0,9.06E-03,3.41E-02,0,0,0,0,0,0,7.65E-01,
Rest Central America,MTQ,Martinique,2.25E-02,0,4.50E-02,3.26E-04,6.58E-02,0,1.83E-05,7.48E-05,8.42E-02,1.64E-01,5.55E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67E+00,5.51E-02,0,0,0,0,0,0,7.49E-02,0,0,0,0,0,0,0,5.66E+00,1.73E+00,0,0,0,0,0,0,9.62E+00,
Rest Central America,NIC,Nicaragua,2.19E-01,8.78E-04,2.94E-01,0,2.30E-01,0,1.17E-02,0,1.82E+01,8.23E-01,1.84E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96E+02,5.15E+00,1.37E+01,0,0,0,0,4.25E-01,2.00E+00,0,0,0,0,0,0,0,2.85E+01,2.93E+01,0,0,0,0,0,0,2.95E+02,
Rest Central America,PAN,Panama,5.28E-02,0,1.55E-01,0,8.86E-01,0,0,6.55E-02,4.74E+00,4.57E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14E+02,2.66E+00,8.07E+00,0,0,0,0,3.05E-01,8.18E-01,0,0,0,0,0,0,0,1.33E+01,1.48E+01,0,0,0,0,0,0,1.61E+02,
